tiempo (h),tiempo (s),factor compuesto,factor referencia,Ln(Co/Ct),Ln(Refo/Reft),kwall-loss
11:48:55,0,0.7583,0.8279,0.0,0.0,0.0
11:50:09,74,0.7485,0.8337,0.013,-0.007,-0.01079438627573315
11:51:19,144,0.737,0.8436,0.0285,-0.0188,-0.0178267336406
11:52:29,214,0.7165,0.8509,0.0567,-0.0274,-0.01213274775470316
11:53:40,285,0.6913,0.8535,0.0925,-0.0305,0.0008343052551590124
11:54:50,0,0.6583,0.8265,0.0,0.0,0.0
11:56:00,70,0.6254,0.7855,0.0513,0.0509,0.028753650414876816
11:57:09,139,0.5994,0.7525,0.0937,0.0938,0.049021933792773115
11:58:18,208,0.5754,0.7218,0.1346,0.1355,0.06769163079460674
11:59:27,277,0.5547,0.6947,0.1712,0.1737,0.08213564808758378
12:00:37,347,0.5345,0.6722,0.2083,0.2066,0.09671568564845931
12:01:52,422,0.5142,0.6518,0.247,0.2375,0.11131120088689878
12:03:06,496,0.4968,0.6359,0.2815,0.2622,0.12193369697647904
12:04:14,564,0.4811,0.6225,0.3136,0.2835,0.13217372439898986
12:05:25,635,0.4652,0.612,0.3472,0.3005,0.14294414115274365
12:06:34,704,0.4512,0.6031,0.3778,0.3151,0.15130685485012213
12:09:44,894,0.4167,0.5866,0.4573,0.3429,0.16973708493855594
